Club Name,Number of Videos,County,Province,Country,Latitude,Longitude,Matched
Macroom GAA,17,Cork,Munster,Ireland,51.90233500,-8.97347700,Yes
Askeaton/Ballysteen/Kilcornan,17,,,Ireland,,,No
Carrickmacross Hurling Club,17,,,Ireland,,,No
Mullingar Shamrocks,17,Westmeath,Leinster,Ireland,53.53070900,-7.33215400,Yes
Limavady Wolfhounds GAC,17,Derry,Ulster,United Kingdom,55.05048100,-6.93657100,Fuzzy
Clonmore Robert Emmets GAA,16,Donegal,Ulster,Ireland,54.80122500,-7.57334500,Fuzzy
Madden,16,,,Ireland,,,No
Carnmore Camogie Club,16,,,Ireland,,,No
Castleblayney Faughs,16,Monaghan,Ulster,Ireland,54.11270000,-6.73108600,Yes
Moynalvey GFC,16,,,Ireland,,,No
Ardboe O'Donovan Rossa GFC,15,,,Ireland,,,No
Mullahoran GFC,15,,,Ireland,,,No
Longford GAA Seniors,15,,,Ireland,,,No
Ballinascarthy GAA,15,Cork,Munster,Ireland,51.66667800,-8.83162100,Yes
Barrow Rangers GAA,15,Kilkenny,Leinster,Ireland,52.68369200,-7.02696600,Yes
Kilnadeema Leitrim,15,,,Ireland,,,No
Kinawley Brian Borus,15,,,Ireland,,,No
Clogherinkoe,14,Kildare,Leinster,Ireland,53.39008800,-6.99670700,Yes
Ballymachugh,14,Cavan,Ulster,Ireland,53.83584100,-7.35314800,Yes
Kinsale GAA,14,Cork,Munster,Ireland,51.71046500,-8.53246800,Yes
Ardnaree Sarsfields Clubhouse,13,Mayo,Connacht,Ireland,54.11177600,-9.14224400,Fuzzy
Ballyhaunis GAA,13,Mayo,Connacht,Ireland,53.76339900,-8.79207800,Yes
Shamrock,12,,,Ireland,,,No
Kilmore GAA,12,Roscommon,Connacht,Ireland,53.87509480,-8.05225400,Yes
The Bens,11,,,Ireland,,,No
Limerick Camogie,11,,,Ireland,,,No
Kildallan GAA,10,Cavan,Ulster,Ireland,54.11959700,-7.58463900,Yes
Kilmovee Shamrocks GAA,10,Mayo,Connacht,Ireland,53.88605000,-8.67848000,Yes
